Name,Pass_Efficiency_Score,Rush_Efficiency_Score,Experience_Score,Measurables_Score,Cluster,Round,size
Pat White,0.5611120062788909,2.3090400667584543,1.1754414678290988,-0.6153322577587883,Group 5,2,0.7905694150420948
Stephen McGee,-1.0943686000113884,1.263993749695883,0.37499919725589054,0.4650885473445522,Group 5,4,0.5590169943749475
Joe Hamilton,0.6179976491617818,1.5925608863336786,0.7368359987105282,-2.6568508311709347,Group 5,7,0.4225771273642583
Colin Kaepernick,0.21365587968641386,1.5327374531501194,1.7672699293503948,1.7664531622759563,Group 5,2,0.7905694150420948
Shaun King,-0.6326070713967054,0.9104839018780828,0.7982083294935716,-0.8234271279004424,Group 5,2,0.7905694150420948
Tim Tebow,2.2187925977757756,1.3910922122872098,1.3512010620253794,0.9712340231100515,Group 5,1,1.118033988749895
Christian Ponder,-0.5285527819225253,0.7073619770411489,0.20549296169670153,-0.2077282317818684,Group 5,1,1.118033988749895
Charlie Frye,-0.07593260741387337,-0.00018386638133151045,1.2541201118801728,0.48903812807406916,Group 5,3,0.6454972243679028
Vince Young,0.3835122210677757,1.7259116593979629,0.24920592567246172,1.5919005600659764,Group 5,1,1.118033988749895
Kellen Clemens,-0.011712575057412085,0.3161520277429398,0.09214279168324206,-0.42416153165016174,Group 5,2,0.7905694150420948
Tajh Boyd,1.1107658733348276,0.6550709642293615,1.4589917696263093,-0.7973948412558663,Group 5,7,0.4225771273642583
Tyrod Taylor,-0.14015027994573628,1.7606951953423717,0.5807640163571314,-0.5532505528204746,Group 5,6,0.4564354645876384
Cade McNown,-0.042453782043669036,0.6200233362553615,0.46006843770908695,-1.2255755322546134,Group 5,1,1.118033988749895
Brett Hundley,0.818923549693453,0.7813420163028921,1.3169970341140511,0.426231995715611,Group 5,5,0.5
Robert Griffin,1.3748630418301586,1.2220264924900306,1.352700590818094,0.06361421857419762,Group 5,1,1.118033988749895
Jay Cutler,-0.9671294574074154,0.8216065874780478,1.1318507090110241,0.14744179011551714,Group 5,1,1.118033988749895
Kevin Kolb,0.3940738226098952,0.27496653617937605,1.6943107913222788,-0.0950443733328748,Group 5,2,0.7905694150420948
Drew Brees,-0.5000934631860181,0.06143092640030607,1.3804298374484343,-1.3091303755589188,Group 5,2,0.7905694150420948
Zac Dysert,-0.5087875138798655,0.14734844545003384,1.986122981642796,-0.0504572183822837,Group 5,7,0.4225771273642583
Andy Dalton,0.08301814117328188,0.7562378329439214,1.2039726570056613,-0.3900857976491953,Group 5,2,0.7905694150420948
Drew Stanton,-0.05943162271262584,0.9578894455743351,0.11831436486432637,0.37815330893057647,Group 5,2,0.7905694150420948
Colt McCoy,1.0950844223607508,0.39103038299128806,1.9110643535728589,-0.967647466612995,Group 5,3,0.6454972243679028
David Garrard,-0.5262400259205003,1.0480107208882525,1.1237241172460875,-0.07102685061954754,Group 5,4,0.5590169943749475
Russell Wilson,0.5454742413637313,0.974631938982973,1.52500834796022,-2.0371270399285875,Group 5,3,0.6454972243679028
